"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
"0";"NIVEL GENERAL";"Nivel general y divisiones COICOP";100;NA;NA;"GBA";"974149"
"0";"NIVEL GENERAL";"Nivel general y divisiones COICOP";100;NA;NA;"Nacional";"974149"
"01";"Alimentos y bebidas no alcohólicas";"Nivel general y divisiones COICOP";100;NA;NA;"Pampeana";"974149"
"02";"Bebidas alcohólicas y tabaco";"Nivel general y divisiones COICOP";100;NA;NA;"Noroeste";"974149"
"03";"Prendas de vestir y calzado";"Nivel general y divisiones COICOP";100;NA;NA;"Cuyo";"974149"
"04";"Vivienda, agua, electricidad, gas y otros combustibles";"Nivel general y divisiones COICOP";100;NA;NA;"Patagonia";"974149"
"0";"NIVEL GENERAL";"Nivel general y divisiones COICOP";101,313;1,3;NA;"GBA";"974374"
"01";"Alimentos y bebidas no alcohólicas";"Nivel general y divisiones COICOP";101,3069;1,3;NA;"GBA";"974374"
"04";"Vivienda, agua, electricidad, gas y otros combustibles";"Nivel general y divisiones COICOP";110,3184;10,3;NA;"Patagonia";"974374"
"0";"NIVEL GENERAL";"Nivel general y divisiones COICOP";103,8085;2,5;NA;"GBA";"974379"
"07";"Transporte";"Nivel general y divisiones COICOP";103,5441;1,8;NA;"GBA";"974379"
"10";"Educación";"Nivel general y divisiones COICOP";106,9917;7;NA;"Patagonia";"974374"
"0";"NIVEL GENERAL";"Nivel general y divisiones COICOP";106,2627;2,4;NA;"GBA";"974378"
"04";"Vivienda, agua, electricidad, gas y otros combustibles";"Nivel general y divisiones COICOP";121,3727;12,7;NA;"Noroeste";"974378"
"Estacional";NA;"Categorias";101,6969;1,7;NA;"Nacional";"974374"
