0;Nivel general;Nivel general y divisiones COICOP;100.00;0.00;0.00;GBA;2016;12;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;100.00;0.00;0.00;Nacional;2016;12;Diciembre - 2016
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100.00;0.00;0.00;Pampeana;2016;12;Diciembre - 2016
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;100.00;0.00;0.00;Noroeste;2016;12;Diciembre - 2016
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;100.00;0.00;0.00;Cuyo;2016;12;Diciembre - 2016
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;100.00;0.00;0.00;Patagonia;2016;12;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;101.31;1.30;0.00;GBA;2017;1;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;101.31;1.30;0.00;GBA;2017;1;Enero - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;110.32;10.30;0.00;Patagonia;2017;1;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;103.81;2.50;0.00;GBA;2017;2;Febrero - 2017
07;Transporte;Nivel general y divisiones COICOP;103.54;1.80;0.00;GBA;2017;2;Febrero - 2017
10;Educación;Nivel general y divisiones COICOP;106.99;7.00;0.00;Patagonia;2017;1;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;106.26;2.40;0.00;GBA;2017;3;Marzo - 2017
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;121.37;12.70;0.00;Noroeste;2017;3;Marzo - 2017
Estacional;Na;Categorias;101.70;1.70;0.00;Nacional;2017;1;Enero - 2017
